0.981759	0.293402	0.820822	1.08268	0.471242	0.120811	
0.992906	-0.0175921	0.84578	1.09087	0.281758	0.239932	
0.957462	-0.334471	0.841208	0.994896	0.0892951	0.343067	
1.0154	0.311651	0.572122	1.38514	1.43966	1.02707	
1.01921	-0.00198124	0.563492	1.37629	0.600974	0.551709	
1.00007	-0.328537	0.575816	1.28715	0.516391	0.791467	
1.05742	0.295545	0.306985	1.38358	1.38326	1.17945	
1.0319	-0.0119066	0.296955	1.31293	1.28525	1.20122	
1.0131	-0.351223	0.314759	1.39778	0.776344	0.872051	
1.05492	0.30856	0.0326062	1.45473	1.88077	1.6277	
1.01651	-0.0307042	0.0338723	1.48697	2.08368	2.09317	
1.00784	-0.346565	0.0403526	1.50049	1.49084	1.64171	
